Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close,Brand,Unnamed: 0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Mapped Canton
"Bahnhofstrasse 28, 5400 Baden, Switzerland",Bahnhofstrasse 28,5400,Baden,Aargau,Switzerland,47.4758225,8.3079958,4.1,564.0,Coop Supermarkt City Baden Food,ChIJD0IBEMdskEcRAK5lMn48hsI,,830.0,830.0,830.0,830.0,830.0,800.0,,1900.0,1900.0,2000.0,1900.0,1900.0,1800.0,COOP,185.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Hellgasse 3, 6460 Altdorf, Switzerland",Hellgasse 3,6460,Altdorf,Uri,Switzerland,46.881008,8.6457131,4.2,296.0,Coop Supermarkt Altdorf,ChIJFzgumIVDhUcRdZ22XOc9BKQ,,730.0,730.0,730.0,730.0,730.0,730.0,,1830.0,1830.0,1830.0,1830.0,2100.0,1700.0,COOP,186.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Vordere Hofstatt 4, 6472 Erstfeld, Switzerland",Vordere Hofstatt 4,6472,Erstfeld,Uri,Switzerland,46.8243562,8.649029999999998,4.3,233.0,Coop Supermarkt Erstfeld,ChIJ_ZKWthZChUcRn1W25waIFHo,,730.0,730.0,730.0,730.0,730.0,730.0,,1830.0,1830.0,1830.0,1830.0,2000.0,1700.0,COOP,187.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Militärstrasse 9A, 6467 Schattdorf, Switzerland",Militärstrasse 9A,6467,Schattdorf,Uri,Switzerland,46.85523479999999,8.645036,4.2,216.0,Coop Supermarkt Schattdorf Tellpark,ChIJQ1DvLbFDhUcRBzoSiqY-w6k,,800.0,800.0,800.0,800.0,800.0,800.0,,1830.0,1830.0,1830.0,1830.0,2000.0,1700.0,COOP,188.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Dorfstrasse 5, 6467 Schattdorf, Switzerland",Dorfstrasse 5,6467,Schattdorf,Uri,Switzerland,46.8655174,8.654784400000002,4.3,78.0,Coop Supermarkt Schattdorf,ChIJfabnecBDhUcRzSYBPOvw0bc,,730.0,730.0,730.0,730.0,730.0,730.0,,1830.0,1830.0,1830.0,1830.0,1830.0,1700.0,COOP,189.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Bahnhofpl. 2, 6460 Altdorf, Switzerland",Bahnhofpl. 2,6460,Altdorf,Uri,Switzerland,46.876444,8.631376900000001,4.1,182.0,Coop Pronto Shop Altdorf Bahnhof,ChIJY1nDTXZDhUcRm2xhMGcI1H4,500.0,500.0,500.0,500.0,500.0,500.0,500.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,COOP,190.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Gotthardstrasse 2, 6467 Schattdorf, Switzerland",Gotthardstrasse 2,6467,Schattdorf,Uri,Switzerland,46.8698303,8.6508315,4.2,167.0,Coop Pronto Shop mit Tankstelle Altdorf Schattdorf,ChIJm_MsxpVDhUcR7vJzTVoqt8Y,530.0,530.0,530.0,530.0,530.0,530.0,530.0,2230.0,2230.0,2230.0,2230.0,2230.0,2230.0,2230.0,COOP,191.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Oberer Steisteg 2, 6430 Schwyz, Switzerland",Oberer Steisteg 2,6430,Schwyz,Schwyz,Switzerland,47.0202152,8.6516214,4.4,228.0,Coop Supermarkt Schwyz,ChIJEXUhzThOhUcRVhsvT4xle_k,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,1900.0,1900.0,1800.0,COOP,192.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Bahnhofstrasse 36, 6440 Brunnen SZ, Switzerland",Bahnhofstrasse 36,6440,Brunnen,Solothurn,Switzerland,46.99646559999999,8.6073306,4.3,454.0,Coop Supermarkt Brunnen,ChIJo4dg8TpQhUcRAxcGIqhoq1o,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,COOP,193.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Centralstrasse 5, 6410 Arth, Switzerland",Centralstrasse 5,6410,Arth,Schwyz,Switzerland,47.0504381,8.5503426,4.3,313.0,Coop Supermarkt Goldau,ChIJKzczN1ZRhUcRH-_JbEm4rUM,,730.0,730.0,730.0,730.0,730.0,730.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,COOP,194.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Luzernerstrasse 38, 6353 Weggis, Switzerland",Luzernerstrasse 38,6353,Weggis,Luzern,Switzerland,47.0335798,8.4266366,4.3,114.0,Coop Supermarkt Weggis,ChIJAZwQNS75j0cRRSNLfElNkow,,730.0,730.0,730.0,730.0,730.0,730.0,,1900.0,1900.0,1900.0,1900.0,1900.0,1700.0,COOP,195.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
"Bahnhofstrasse 1, 6410 Goldau, Switzerland",Bahnhofstrasse 1,6410,Goldau,Schwyz,Switzerland,47.0491063,8.5495994,4.1,984.0,Coop Supermarkt Goldau Bahnhof,ChIJ6a3WX1ZRhUcRmLGhzm2XlOE,700.0,600.0,600.0,600.0,600.0,600.0,600.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,COOP,196.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Bahnhofstrasse 46, 6440 Brunnen SZ, Switzerland",Bahnhofstrasse 46,6440,Brunnen,Solothurn,Switzerland,46.9993699,8.610096400000002,4.5,141.0,Coop Pronto Shop Brunnen Bahnhof,ChIJ43SkJDBQhUcRGA1eFfemWDc,500.0,500.0,500.0,500.0,500.0,500.0,500.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,COOP,197.0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
