Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton
MM-Migros,64600,Pully,"Chemin du Pré-de-la-Tour 3, 1009 Pully",,1009,Pully,Vaud
MM-Migros,84300,Pérolles Centre,"Boulevard de Pérolles 21 A, 1700 Fribourg",,1700,Fribourg,Fribourg
M-Migros,73920,Rain,"Gääli 6, 6026 Rain",,6026,Rain,Aargau
Migros-Partner,97300,Ramsen,"Petersburg 416, 8262 Ramsen",,8262,Ramsen,Zürich
MM-Migros,150071,Rapperswil - Sonnenhof,"Zürcherstrasse 4, 8640 Rapperswil SG",,8640,Rapperswil,Zürich
M-Migros,150188,Rapperswil - Zentrum,"Untere Bahnhofstrasse 19, 8640 Rapperswil SG",,8640,Rapperswil,Zürich
Migros-Partner,90729,Rebstein,"Staatsstrasse 128, 9445 Rebstein",,9445,Rebstein,Zürich
MMM-Migros,150060,Regensdorf - Zentrum,"Zentrum 1, 8105 Regensdorf",,8105,Regensdorf,Zürich
M-Migros,150083,Reichenburg,"Gewerbestrasse 4, 8864 Reichenburg",,8864,Reichenburg,Schwyz
M-Migros,73210,Reiden,"Hauptstrasse 52, 6260 Reiden",,6260,Reiden,Luzern
MM-Migros,24420,Reinach - Mischeli,"Niederbergstrasse 1, 4153 Reinach BL",,4153,Reinach,Basel-Landschaft
M-Migros,23850,Reinach - Zentrum,"Herrenweg 11, 4153 Reinach BL",,4153,Reinach,Basel-Landschaft
MM-Migros,34463,Reinach AG,"Sandgasse 6, 5734 Reinach AG",,5734,Reinach,Aargau
M-Migros,64280,Renens - Florissant,"Avenue de Florissant 38, 1020 Renens VD",,1020,Renens,Vaud
MM-Migros,64590,Renens - Métropole,"Rue de la Mèbre 9, 1020 Renens VD",,1020,Renens,Vaud
M-Migros,63625,Renens Quai Ouest,"Avenue d'Epenex 4c, 1020 Renens VD",,1020,Renens,Vaud
M-Migros,64325,Renens Silo,"Rue du Silo 11, 1020 Renens",,1020,Renens,Vaud
M-Migros,90326,Rheineck,"Rhyguetstrasse 2, 9424 Rheineck",,9424,Rheineck,Zürich
MM-Migros,34293,Rheinfelden,"Lindenstrasse 3, 4310 Rheinfelden",,4310,Rheinfelden,Basel-Landschaft
M-Migros,123890,Riazzino,"Via Cantonale 40, 6595 Riazzino",,6595,Riazzino,Ticino
M-Migros,150158,Richterswil,"Schützengass 4, 8805 Richterswil",,8805,Richterswil,Zürich
MM-Migros,24360,Riehen - Dorf,"Rössligasse/Webergässchen 8, 4125 Riehen",,4125,Riehen,Basel-Landschaft
Migros-Partner,29580,Riehen - Grenzacherweg,"Grenzacherweg 81, 4125 Riehen",,4125,Riehen,Basel-Landschaft
Migros-Partner,29620,Riehen - Niederholz,"Gotenstrasse 84, 4125 Riehen",,4125,Riehen,Basel-Landschaft
MM-Migros,64380,Rolle,"Av. de la Gare 17, 1180 Rolle",,1180,Rolle,Vaud
MMM-Migros,65010,Romanel-sur-Lausanne,"En Félezin, 1032 Romanel-s-Lausanne",,1032,Romanel,Vaud
MM-Migros,90443,Romanshorn - Hubzelg,"Bahnhofstrasse 54a, 8590 Romanshorn",,8590,Romanshorn,Zürich
MM-Migros,84292,Romont,"Avenue de la Gare 7, 1680 Romont FR",,1680,Romont,Fribourg
M-Migros,73290,Root,"Bahnhofstrasse 11b, 6037 Root",,6037,Root,Aargau
