Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Blümlisalpstrasse 1, 4562 Biberist, Switzerland",Blümlisalpstrasse 1,4562,Biberist,Solothurn,Switzerland,47.1871015,7.556110899999998,4.4,92,SPAR Supermarkt Biberist,ChIJ00Ot36wpjkcR6CZFBEMYVlo,,0700,0700,0700,0700,0700,0700,,1830,1830,1830,1830,2100,1800
"Kriegstettenstrasse 14, 4563 Gerlafingen, Switzerland",Kriegstettenstrasse 14,4563,Gerlafingen,Solothurn,Switzerland,47.1705435,7.574960799999999,4.2,309,SPAR Supermarkt,ChIJjZ-EYLIpjkcRX1Ip1uzuCmc,0600,0600,0600,0600,0600,0600,0600,2200,2200,2200,2200,2200,2200,2200
"Neue Str. 2, 4703 Kestenholz, Switzerland",Neue Str. 2,4703,Kestenholz,Solothurn,Switzerland,47.28186599999999,7.752662999999998,4.6,120,SPAR,ChIJMxnW77YskEcRqcsUo_fzBp4,,1400,1400,1400,1400,1400,1330,,1830,1830,1830,1830,1830,1600
"Spittelgasse 4, 3294 Büren an der Aare, Switzerland",Spittelgasse 4,3294,Büren,Bern,Switzerland,47.139239,7.372375,4.6,217,SPAR Supermarkt Büren a. A.,ChIJoVpnPIIhjkcR7i4E_uwjRv0,0800,0630,0630,0630,0630,0630,0630,1200,1900,1900,1900,1900,1900,1700
"Les Joncs, 1580 Avenches, Switzerland",Les Joncs,1580,Avenches,Vaud,Switzerland,46.899471,7.049696099999999,4.3,184,SPAR,ChIJM5lqPsJyjkcR9S3N7mAwQz4,0800,0800,0800,0800,0800,0800,0800,1900,1900,1900,1900,1900,1900,1900
"Restoroute de Lavaux Autoroute A9, 1091 Aran, Switzerland",Restoroute de Lavaux Autoroute A9,1091,Aran,Vaud,Switzerland,46.5050196,6.709657399999999,3.9,75,SPAR express Lavaux,ChIJSx_0bNQpjEcR3UOJUl0k_GI,0600,0600,0600,0600,0600,0600,0600,2200,2130,2130,2130,2130,2200,2200
"Rte des Toches 3, 1026 Echandens, Switzerland",Rte des Toches 3,1026,Echandens,Vaud,Switzerland,46.5348006,6.5469813,,,Spas Prestige,ChIJ83U5gncxjEcRwkPQ3WcdWJM,,,,,,,,,,,,,,
"Chem. de Budron H 2, 1052 Le Mont-sur-Lausanne, Switzerland",Chem. de Budron H 2,1052,Le,Vaud,Switzerland,46.57683599999999,6.634074999999998,5,6,One Spa Sàrl,ChIJ0ZgXkQwtjEcRwqST3J__5tk,,0800,1300,0800,1300,0800,0900,,1200,1700,1200,1700,1200,1200
"Murtenstrasse 13, 3210 Kerzers, Switzerland",Murtenstrasse 13,3210,Kerzers,Fribourg,Switzerland,46.9741653,7.1941618,4.2,104,SPAR Supermarkt Kerzers,ChIJYySwfgkUjkcRkEJ1ekpEGtk,,0630,0630,0630,0630,0630,0630,,1900,1900,1900,1900,1930,1600
"Rte Neuve 6, 1170 Aubonne, Switzerland",Rte Neuve 6,1170,Aubonne,Vaud,Switzerland,46.49521299999999,6.392386,4.4,7,Lac Léman Spa,ChIJASziF3lIjEcRme1fa2soztQ,,0900,0900,0900,0900,0900,,,1900,1900,1900,1900,1900,
