Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Centre commercial Cygnes, Rue de Monthoux 57, 1201 Genève, Switzerland",Centre commercial Cygnes,1201,Genève,Vaud,Switzerland,46.2107201,6.1443296,4.0,116,Denner Discount,ChIJM9E9LydljEcR1QR7abSn96w,,0830,0830,0830,0830,0830,0800,,1900,1900,1900,1930,1930,1800
"Rue de Montbrillant 67, 1202 Genève, Switzerland",Rue de Montbrillant 67,1202,Genève,Vaud,Switzerland,46.22032,6.140326799999999,4.3,278,Denner Discount,ChIJi1d8YuBkjEcRGlXp57_C-Zo,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue Abraham-Gevray 5-7, 1201 Genève, Switzerland",Rue Abraham-Gevray 5-7,1201,Genève,Vaud,Switzerland,46.21134079999999,6.149683899999999,4.2,210,Denner Discount,ChIJR9J9ciRljEcR7wYkDVRuM_s,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Bd Carl-Vogt 12, 1205 Genève, Switzerland",Bd Carl-Vogt 12,1205,Genève,Vaud,Switzerland,46.2005962,6.130955300000001,4.2,179,Denner Discount,ChIJueYQ9tJkjEcRbQWwnMpImJQ,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue du Lac 10, 1207 Genève, Switzerland",Rue du Lac 10,1207,Genève,Vaud,Switzerland,46.20428,6.157235,4.1,222,Denner Discount,ChIJ47d61zBljEcRlfsaNKBNPaQ,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Centre commercial Balexert, Av. Louis-Casaï 27, 1211 Genève, Switzerland",Centre commercial Balexert,1211,Genève,Vaud,Switzerland,46.2192722,6.114282299999999,4.3,195,Denner Discount,ChIJZa6x0ZdkjEcRQgOmUX1SrEg,,0830,0830,0830,0830,0830,0800,,1900,1900,1900,2100,1930,1800
"Rue Prévost-Martin 36, 1205 Genève, Switzerland",Rue Prévost-Martin 36,1205,Genève,Vaud,Switzerland,46.192768,6.144746,4.2,238,Denner Discount,ChIJYwmA_dN6jEcRkHRJckydbOw,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue de Vermont 2, 1202 Genève, Switzerland",Rue de Vermont 2,1202,Genève,Vaud,Switzerland,46.21504629999999,6.134241999999999,4.1,382,Denner Discount,ChIJw_1LA91kjEcR5v7sIYxsvI0,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue du Vieux-Billard 3a, 1205 Genève, Switzerland",Rue du Vieux-Billard 3a,1205,Genève,Vaud,Switzerland,46.2003147,6.1385839,4.5,73,Denner Express,ChIJaRRe6hpljEcRHnl6Kxf74hA,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
"Rue Caroline 5, 1227 Genève, Switzerland",Rue Caroline 5,1227,Genève,Vaud,Switzerland,46.1921352,6.139066199999999,4.3,181,Denner Discount,ChIJh45fF9Z6jEcRCNC5Rgum0Os,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,2000,1930,1800
