Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close
"Spitalgasse 34, 3011 Bern, Switzerland",Spitalgasse 34,3011,Bern,Switzerland,46.9481474,7.441864799999999,4.3,145,ALDI SUISSE,ChIJmZmwARg5jkcRFrmX-gI6lZ8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0730,1800,,
"Murtenstrasse 143, 3008 Bern, Switzerland",Murtenstrasse 143,3008,Bern,Switzerland,46.9491349,7.4090227,4.1,731,ALDI SUISSE Bern,ChIJG9HfYQ45jkcRJNRN6eG4CcY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0800,1700,,
"Kornhauspl. 7, 3011 Bern, Switzerland",Kornhauspl. 7,3011,Bern,Switzerland,46.94842159999999,7.4478334,4.3,90,ALDI SUISSE,ChIJCY0Wk-85jkcR2wD9iNGO4f8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0730,1800,,
"Seftigenstrasse 310, 3084 Wabern bei Bern, Switzerland",Seftigenstrasse 310,3084,Wabern,Switzerland,46.9262226,7.454987200000001,4.1,381,ALDI SUISSE,ChIJC9fLOyk4jkcR53HRID7yHRg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0800,1700,,
"Milchstrasse 2/8, 3072 Ostermundigen, Switzerland",Milchstrasse 2/8,3072,Ostermundigen,Switzerland,46.9632726,7.481859899999999,4.1,763,ALDI SUISSE,ChIJEYYpak43jkcRFiSTwytU5Bw,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0800,1700,,
"Stapfenstrasse 4, 3098 Köniz, Switzerland",Stapfenstrasse 4,3098,Köniz,Switzerland,46.9226841,7.414845,4.2,113,ALDI SUISSE,ChIJU8bSzKU5jkcR3_0s-hUYlDs,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,2000,0800,2000,0800,2000,0800,2000,0800,2000,0800,1700,,
"Talgut-Zentrum 19, 3063 Ittigen, Switzerland",Talgut-Zentrum 19,3063,Ittigen,Switzerland,46.97417009999999,7.481685799999998,4.2,226,ALDI SUISSE,ChIJ1Yn4za0wjkcRIT6zzppuxq8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1900,0800,1900,0800,1900,0800,1900,0800,2000,0800,1700,,
"Rte Cantonale 24, 1964 Conthey, Switzerland",Rte Cantonale 24,1964,Conthey,Switzerland,46.2238365,7.3065477,4.0,743,ALDI SUISSE Conthey,ChIJNcB7n5TcjkcRsF-9k2WU3gU,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1700,0730,1830,0730,1830,0730,1830,0730,2100,0730,1700,,
"Av. de Fully 41, 1920 Martigny, Switzerland",Av. de Fully 41,1920,Martigny,Switzerland,46.1091992,7.0761873,4.1,791,ALDI SUISSE,ChIJt4DJDS7IjkcRHhPAShiD1IY,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Rue des Casernes 55a, 1950 Sion, Switzerland",Rue des Casernes 55a,1950,Sion,Switzerland,46.22814359999999,7.379541999999999,4.1,993,ALDI SUISSE,ChIJlznk_ZrejkcRXGqiTLzk6jA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Av. de la Gare 26, 1870 Monthey, Switzerland",Av. de la Gare 26,1870,Monthey,Switzerland,46.25368719999999,6.9509263,4.1,146,ALDI SUISSE Monthey,ChIJQ88qXlC9jkcRxyLk8BBuqus,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1830,0800,1830,0800,1830,0800,1830,0800,2000,0800,1700,,
"Kantonsstrasse 66a, 3930 Visp, Switzerland",Kantonsstrasse 66a,3930,Visp,Switzerland,46.2956325,7.916589499999999,4.1,482,ALDI SUISSE,ChIJ1clmwKRrj0cRNMkK-uKzxBk,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Z.A. Entre deux Fossaux 8, 1868 Collombey-Muraz, Switzerland",Z.A. Entre deux Fossaux 8,1868,Collombey-Muraz,Switzerland,46.2662468,6.956314799999999,4.0,626,ALDI SUISSE Collombey,ChIJNcB7n5TcjkcRF1v95eQ2UcM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2100,0730,1700,,
"Rue Thèodore Stéphani 5, 3963 Crans-Montana, Switzerland",Rue Thèodore Stéphani 5,3963,Crans-Montana,Switzerland,46.3123031,7.480925499999998,4.2,295,ALDI SUISSE,ChIJj3ma1dvhjkcRfLi3wWamWaE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,0730,1900,0730,1900,0730,1900,0730,1900,0730,1900,0730,1900,0800,1900
"Av. du Général-Guisan 32, 1800 Vevey, Switzerland",Av. du Général-Guisan 32,1800,Vevey,Switzerland,46.46506189999999,6.8391098,4.1,253,ALDI SUISSE Vevey,ChIJBUXjPwydjkcRJLGXWgP5A8I,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0800,1830,0800,1830,0800,1830,0800,1830,0800,2000,0800,1700,,
"Glismattenstrasse 20, 3902 Brig-Glis, Switzerland",Glismattenstrasse 20,3902,Brig-Glis,Switzerland,46.3152279,7.983443299999999,4.1,440,ALDI,ChIJ2XwdUs1uj0cRsrX6bLyRxSI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1830,0730,1830,0730,1830,0730,1830,0730,2000,0730,1700,,
"Les Malliez 1, 1845 Noville, Switzerland",Les Malliez 1,1845,Noville,Switzerland,46.3850029,6.9200682,4.0,890,ALDI SUISSE Noville,ChIJ36F3gSeajkcRjam89yMmxzM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,1930,0730,1930,0730,1930,0730,1930,0730,2100,0730,1800,,
"Baumackerstrasse 35, 8050 Zürich, Switzerland",Baumackerstrasse 35,8050,Zürich,Switzerland,47.40888,8.543623199999999,4.2,715,ALDI SUISSE,ChIJ4WVSVoYKkEcRmOW3387iN80,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Binzmühlestrasse 102, 8050 Zürich, Switzerland",Binzmühlestrasse 102,8050,Zürich,Switzerland,47.4137869,8.5390221,4.2,665,ALDI SUISSE,ChIJfXZer48KkEcRZGXVjGdb63Q,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Zollstrasse 58, 8005 Zürich, Switzerland",Zollstrasse 58,8005,Zürich,Switzerland,47.3808365,8.533189299999998,4.3,1097,Aldi,ChIJDXAJGA4KkEcRwgtNwO0k-og,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,,
"Zwirnereistrasse 7/9, 8304 Wallisellen, Switzerland",Zwirnereistrasse 7/9,8304,Wallisellen,Switzerland,47.40461459999999,8.602686099999998,4.4,310,ALDI SUISSE AG,ChIJBQI_RmWhmkcR2FM7dz_JygM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Hofwisenstrasse 42, 8153 Rümlang, Switzerland",Hofwisenstrasse 42,8153,Rümlang,Switzerland,47.4504138,8.5381529,4.2,605,ALDI SUISSE,ChIJrY6f1jV1kEcRJapIYyr12dM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
"Schärenmoosstrasse 77, 8052 Zürich, Switzerland",Schärenmoosstrasse 77,8052,Zürich,Switzerland,47.4194852,8.556865,4.3,471,ALDI SUISSE - Zurich,ChIJo_8PBHagmkcRN3TJBmfo0yM,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,0730,2000,,
