Unnamed: 0,Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Canton
127,"Rue du Pâquis 2, 1033 Cheseaux-sur-Lausanne, Switzerland",Rue du Pâquis 2,1033,Cheseaux-sur-Lausanne,Switzerland,46.5864058,6.604671499999999,3.9,331,Coop Supermarché Cheseaux,ChIJj29brUQyjEcRHOQ8nQYZ-6Y,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1800.0,,,Vaud
128,"Chem. des Faverges 15, 1006 Lausanne, Switzerland",Chem. des Faverges 15,1006,Lausanne,Switzerland,46.51402809999999,6.647179699999999,3.9,141,Coop Supermarché Lausanne Chissiez,ChIJqV_hCrMvjEcRD6oPCGeEUYE,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
129,"Av. de Morges 60, 1004 Lausanne, Switzerland",Av. de Morges 60,1004,Lausanne,Switzerland,46.526643,6.612506600000001,4.1,465,Coop Supermarché Lausanne Prélaz,ChIJQWPElNAxjEcRLAHHzEnRfcg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
130,"Rue Caroline 6, 1003 Lausanne, Switzerland",Rue Caroline 6,1003,Lausanne,Switzerland,46.5206955,6.638334400000001,4.1,985,Coop Supermarché Lausanne Caroline,ChIJm5uuAi4ujEcRdV7tDLdiYNc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
131,"Av. de Chailly 9, 1012 Lausanne, Switzerland",Av. de Chailly 9,1012,Lausanne,Switzerland,46.5258271,6.652152099999999,3.8,242,Coop Supermarché Lausanne Chailly,ChIJn9ZAZEUujEcR1Ngv0d-5bdg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
132,"Pl. du Marché 1, 1020 Renens, Switzerland",Pl. du Marché 1,1020,Renens,Switzerland,46.5383211,6.581687000000001,4.1,563,Coop Supermarché Renens Centre,ChIJ13ta6qExjEcR8jXQAg4H2QI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,730.0,1700.0,,,Vaud
133,"Rue de la Pontaise 14, 1018 Lausanne, Switzerland",Rue de la Pontaise 14,1018,Lausanne,Switzerland,46.52939869999999,6.6305631,4.0,263,Coop Supermarché Lausanne Pontaise,ChIJL1Nk4SQujEcRrBbdWPU1FB4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1800.0,,,Vaud
134,"Rte d'Orbe 4, 1040 Echallens, Switzerland",Rte d'Orbe 4,1040,Echallens,Switzerland,46.6418928,6.6311981,4.1,441,Coop Supermarché Echallens,ChIJo5Hwak_NjUcRlGFU0w7GZRc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
135,"En Chamard 31, 1442 Montagny-près-Yverdon, Switzerland",En Chamard 31,1442,Montagny-près-Yverdon,Switzerland,46.7900052,6.6205629,4.1,1456,Coop Supermarché Montagny-près-Yverdon,ChIJR_ttzonFjUcRodeqQDrCjRo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,1900.0,800.0,2000.0,800.0,1800.0,,,Vaud
136,"Chem. d'Entre-Bois 17, 1018 Lausanne, Switzerland",Chem. d'Entre-Bois 17,1018,Lausanne,Switzerland,46.5372957,6.6322216,4.2,270,Coop Supermarché Lausanne Entrebois,ChIJL1Nk4SQujEcRsocIoRv9mSQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1900.0,730.0,1800.0,,,Vaud
