Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton,Longitude,Latitude
Daily,150362,Daily Zürich-Zollstrasse,"Zollstrasse 6, 8005 Zürich",,8005,Zürich,Zürich,8.5369492,47.3798176
MM-Migros,90432,Davos Symondpark,"Promenade 105, 7270 Davos Platz",,7270,Davos,Graubünden,9.8162434,46.7947955
M-Migros,90333,Davos-Dorf,"Promenade 146, 7260 Davos Dorf",,7260,Davos,Graubünden,9.8997731,46.7757476
M-Migros,90314,Degersheim,"Hauptstrasse 81, 9113 Degersheim",,9113,Degersheim,Zürich,9.1963359,47.3724131
MM-Migros,24320,Delémont,"Rue de la Maltière 12, 2800 Delémont",,2800,Delémont,Jura,7.346107499999999,47.3632735
M-Migros,33773,Derendingen,"Hauptstrasse 22, 4552 Derendingen",,4552,Derendingen,Solothurn,7.5838776,47.1973593
MM-Migros,150149,Dielsdorf,"Ruchwiesenstrasse 2, 8157 Dielsdorf",,8157,Dielsdorf,Zürich,8.464537,47.4805972
M-Migros,90327,Diepoldsau,"Hintere Kirchstrasse 1, 9444 Diepoldsau",,9444,Diepoldsau,Zürich,9.656215999999999,47.38573090000001
M-Migros,93620,Diessenhofen,"Bahnhofstrasse 15, 8253 Diessenhofen",,8253,Diessenhofen,Zürich,8.7522015,47.6860018
M-Migros,150130,Dietikon - Limmatfeld,"Überlandstrasse 22, 8953 Dietikon",,8953,Dietikon,Zürich,8.4050919,47.4091846
MM-Migros,150065,Dietikon - Löwenzentrum,"Löwenstrasse 28, 8953 Dietikon",,8953,Dietikon,Zürich,8.4021644,47.4050615
MM-Migros,150307,Dietikon Silbern,"Riedstrasse 3, 8953 Dietikon",,8953,Dietikon,Zürich,8.393833599999999,47.4200148
M-Migros,150169,Dietlikon - Brunnenwiese,"Pappelstrasse 2, 8305 Dietlikon",Geschlossen,8305,Dietlikon,Zürich,8.621573399999999,47.4192148
M-Migros,90381,Domat-Ems,"Via La Val 1, 7013 Domat/Ems",,7013,Domat,Graubünden,9.4653662,46.8374898
M-Migros,83940,Domdidier,"Grand-Rhain 54, 1564 Domdidier",,1564,Domdidier,Fribourg,7.009378700000001,46.8653808
M-Migros,23620,Dornach,"Wollmattweg 7, 4143 Dornach",,4143,Dornach,Basel-Landschaft,7.611779899999999,47.4882089
M-Migros,93870,Dättnau,"Ziegeleiplatz 2, 8406 Dättnau",,8406,Dättnau,Zürich,8.6993628,47.4773023
M-Migros,33743,Döttingen,"Hauptstrasse 17, 5312 Döttingen",,5312,Döttingen,Aargau,8.2284268,47.57653579999999
MM-Migros,150054,Dübendorf,"Unterdorfstrasse 7, 8600 Dübendorf",,8600,Dübendorf,Zürich,8.617610899999999,47.3982642
Migros Fachmarkt,150148,Dübendorf - Hochbord Nord,"Neugutstrasse 83, 8600 Dübendorf",,8600,Dübendorf,Zürich,8.6034625,47.4014347
M-Migros,150082,Dübendorf Stettbach,"Am Stadtrand 5, 8600 Dübendorf",,8600,Dübendorf,Zürich,8.5969961,47.396978
MM-Migros,84320,Düdingen,"Käsereistrasse 3, 3186 Düdingen",,3186,Düdingen,Bern,7.191617699999999,46.8470441
MM-Migros,74300,Ebikon - Ladengasse,"Zentralstrasse 16, 6030 Ebikon",,6030,Ebikon,Aargau,8.3408153,47.0809819
MMM-Migros,74400,Ebikon - Mall of Switzerland,"Ebisquare-Strasse 1, 6030 Ebikon",,6030,Ebikon,Aargau,8.357506500000001,47.0935816
M-Migros,150170,Ebmatingen,"Zürichstrasse 108, 8123 Ebmatingen",,8123,Ebmatingen,Zürich,8.643211599999999,47.350869
M-Migros,90368,Ebnat-Kappel,"Kapplerstrasse 16, 9642 Ebnat-Kappel",,9642,Ebnat,St. Gallen,9.1074422,47.2760513
MM-Migros,63620,Echallens,"Rue de Praz-Palud 2, 1040 Echallens",,1040,Echallens,Vaud,6.6357975,46.638967
MM-Migros,63690,Ecublens - Croset,"chemin du Croset 7, 1024 Ecublens",,1024,Ecublens,Vaud,6.56442,46.5340101
M-Migros,63910,Ecublens - EPFL,"Louis Favre 8A, 1024 Ecublens VD",,1024,Ecublens,Vaud,6.565703,46.5229627
MM-Migros,94290,Effretikon - Effi-Märt,"Märtplatz 5, 8307 Effretikon",,8307,Effretikon,Zürich,8.6849426,47.4288561
MM-Migros,34413,Egerkingen - Gäupark,"Hausimollstrasse 1, 4622 Egerkingen",,4622,Egerkingen,Solothurn,7.8019051,47.3178558
MM-Migros,150074,Egg,"Gewerbestrasse 2-10, 8132 Egg",,8132,Egg,Zürich,8.6913103,47.3026244
M-Migros,150078,Eglisau-Nord,"Bauelenzelgstrasse 16, 8193 Eglisau",,8193,Eglisau,Zürich,8.5129016,47.580353
M-Migros,73870,Egolzwil - Schötz,"Grossmatt 1, 6243 Egolzwil",,6243,Egolzwil,Luzern,7.9841065,47.1828404
MM-Migros,150068,Einsiedeln,"Eisenbahnstrasse 2, 8840 Einsiedeln",,8840,Einsiedeln,Schwyz,8.7460364,47.1287165
M-Migros,93840,Elgg,"St. Gallerstrasse 16, 8353 Elgg",,8353,Elgg,Zürich,8.861620499999999,47.49832319999999
MM-Migros,94320,Embrach,"Bülacherstrasse 17, 8424 Embrach",,8424,Embrach,Zürich,8.591849999999999,47.5101605
M-Migros,73680,Emmen - Kapf,"Kapfstrasse 3, 6020 Emmenbrücke",,6020,Emmenbrücke,Aargau,8.2737122,47.0896964
MM-Migros,74390,Emmen - Wohncenter,"Seetalstrasse 50, 6020 Emmenbrücke",,6020,Emmenbrücke,Aargau,8.2927271,47.0744868
MM-Migros,74350,Emmenbrücke - Sonnenplatz,"Sonnenplatz 1, 6020 Emmenbrücke",,6020,Emmenbrücke,Aargau,8.2752688,47.0779516
M-Migros,73890,Engelberg,"Klosterstrasse 5, 6390 Engelberg",,6390,Engelberg,Luzern,8.405717,46.820706
MM-Migros,63940,Epalinges,"Place de la Croix-Blanche 11, 1066 Epalinges",,1066,Epalinges,Vaud,6.670927,46.548481
Migros-Partner,137244,Erde,"Scex-Riond / CP 48, 1976 Erde",,1976,Erde,Valais,7.292589899999999,46.23790409999999
M-Migros,150185,Erlenbach - Erlibacher Märt,"Bahnhofstrasse 42, 8703 Erlenbach ZH",,8703,Erlenbach,Zürich,8.590430999999999,47.3070228
M-Migros,33123,Erlinsbach,"Zentrum Rössli, 5018 Erlinsbach AG",,5018,Erlinsbach,Aargau,8.0082722,47.4057159
M-Migros,73180,Erstfeld,"Gotthardstrasse 144, 6472 Erstfeld",,6472,Erstfeld,Uri,8.650065999999999,46.825152
Migros-Partner,90725,Eschen,"Essanestrasse 42, 9492 Eschen",,9492,Eschen,Zürich,9.525884999999999,47.208946
M-Migros,150160,Eschenbach,"Rickenstrasse 12, 8733 Eschenbach",,8733,Eschenbach,Zürich,8.9240392,47.2409518
MM-Migros,63630,Estavayer-le-Lac,"Route de la Chapelle 24, 1470 Estavayer-le-Lac",,1470,Estavayer,Fribourg,6.851435899999999,46.8481276
M-Migros,63900,Etoy,"Route Suisse 26, 1163 Etoy",,1163,Etoy,Vaud,6.4259398,46.47363379999999
MM-Migros,24610,Ettingen,"Therwilerstrasse 9, 4107 Ettingen",,4107,Ettingen,Basel-Landschaft,7.547403900000001,47.4849438
Migros-Partner,90718,FL - Balzers,"Landstrasse 20, 9496 Balzers",,9496,Balzers,Zürich,9.5121868,47.0752919
Migros-Partner,90724,FL - Ruggell,"Landstrasse 33, 9491 Ruggell",,9491,Ruggell,Zürich,9.5234668,47.2392642
M-Migros,33903,Fahrwangen,"Hintergasse 12, 5615 Fahrwangen",,5615,Fahrwangen,Aargau,8.2438793,47.294263
M-Migros,123700,Faido,"Via Pian della Croce, 6760 Faido",,6760,Faido,Ticino,8.8002652,46.4778814
M-Migros,93800,Fehraltorf,"Grundstrasse 4, 8320 Fehraltorf",,8320,Fehraltorf,Zürich,8.7556165,47.3866862
M-Migros,136465,Fiesch,"Furkastrasse 46, 3984 Fiesch",,3984,Fiesch,Valais,8.135566899999999,46.4040003
M-Migros,33843,Fislisbach,"Badenerstrasse 7d, 5442 Fislisbach",,5442,Fislisbach,Aargau,8.2897316,47.4361177
M-Migros,84350,Flamatt,"Bernstrasse 36, 3175 Flamatt",,3175,Flamatt,Bern,7.3191353,46.8896931
MM-Migros,90431,Flawil,"Magdenauerstrasse 10, 9230 Flawil",,9230,Flawil,Zürich,9.1861496,47.4128303
MM-Migros,83700,Fleurier,"Grand-Rue 27, 2114 Fleurier",,2114,Fleurier,Neuchâtel,6.5805979,46.9018813
M-Migros,90325,Flums,"Lochrietstrasse 27, 8890 Flums",,8890,Flums,Zürich,9.3534814,47.0981242
M-Migros,93600,Frauenfeld - Multiplex,"Langfeldstrasse 53a, 8500 Frauenfeld",,8500,Frauenfeld,Zürich,8.90503,47.565592
MM-Migros,94330,Frauenfeld - Passage,"Bahnhofplatz 72, 8500 Frauenfeld",,8500,Frauenfeld,Zürich,8.896273599999999,47.5572283
M-Migros,93640,Frauenfeld - Zeughausstrasse,"Zürcherstrasse 227, 8500 Frauenfeld",,8500,Frauenfeld,Zürich,8.9009743,47.5596816
M-Migros,33753,Frick,"Hauptstrasse 44, 5070 Frick",,5070,Frick,Aargau,8.0195359,47.5079295
M-Migros,33370,Frutigen,"Kanderstegstrasse 31, 3714 Frutigen",,3714,Frutigen,Bern,7.648425700000001,46.5855778
M-Migros,133710,Fully,"Rue de Provence 4, 1926 Fully",,1926,Fully,Valais,2.3416739,48.8741725
M-Migros,150153,Fällanden,"Unterdorfstrasse 2, 8117 Fällanden",,8117,Fällanden,Zürich,8.641097499999999,47.3736129
